Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-06-25,257.87115478515625,260.041011898079,257.61818839887144,259.04853678024864,25611100
2021-06-28,261.4713439941406,261.64648141090095,258.7371454420116,259.00959132176337,19590000
2021-06-29,264.0791015625,264.3223579253421,260.7513711476731,261.6173483583132,19937800
2021-06-30,263.5925598144531,264.04014315837577,262.32763874469805,263.38823280658926,21656500
2021-07-01,264.2735900878906,264.5071065805233,262.32754013097593,262.3372501885918,16725300
2021-07-02,270.1605224609375,270.5010873227021,265.14944710588605,265.46082239060695,26458000
2021-07-06,270.1701354980469,271.83399999788736,266.9007559307038,270.530150010853,31565600
2021-07-07,272.3789978027344,273.1185066217161,269.67398833176026,271.86329551959693,23260000
2021-07-08,269.93670654296875,271.21136738007607,267.4554740757495,269.43071435491703,24618600
2021-07-09,270.442626953125,270.5496454720199,267.89330567560967,268.2825098174397,23916700
2021-07-12,269.83935546875,272.22324939104954,269.11929662890196,271.6297182726165,18931700
2021-07-13,273.4006652832031,275.22021788169843,269.9075079454332,270.0339762938403,26120100
2021-07-14,274.889404296875,276.0083775233879,272.9822532089569,274.7337166757565,23113700
2021-07-15,273.44927978515625,274.88936781861696,272.2816376289045,274.39311544805395,22604200
2021-07-16,273.1767883300781,276.4364282525877,271.9215776756877,274.4611885487861,26186800
2021-07-19,269.5376892089844,272.8070392523364,267.04674735851546,271.4058807496515,32935600
2021-07-20,271.78546142578125,273.3909473943721,268.80800608202986,270.5302503473359,26259700
2021-07-21,273.8093566894531,273.926114992778,269.81023632867453,271.3767930555838,24364300
2021-07-22,278.4214782714844,278.69392417228516,275.7748482232583,276.18350222727145,23384100
2021-07-23,281.856201171875,282.16754664431664,278.7716984584868,279.61822556658086,22768100
2021-07-26,281.2529296875,281.87568008541695,278.90796502397234,281.2042903039511,23176100
2021-07-27,278.8106994628906,281.7686752250176,275.3175419275108,281.62272735754055,33604100
2021-07-28,278.4992980957031,282.32328033684064,276.1737534126289,281.1945674435834,33566900
2021-07-29,278.7716979980469,280.8345065096208,278.3630143804849,278.51870196363376,18168300
2021-07-30,277.2246398925781,278.9274341559462,276.251614599225,277.4776359710501,20944800
2021-08-02,277.1370849609375,279.03446656070366,276.0862009630076,278.6355226072652,16267400
2021-08-03,279.3750305175781,279.4820787459192,276.33919621170475,277.72090525828906,17879000
2021-08-04,278.7815246582031,279.83237905408583,276.97168192247585,278.49933896987983,16191300
2021-08-05,281.7102966308594,281.8173448634712,278.3825664683417,279.1415250750894,13900200
2021-08-06,281.65185546875,281.69078478970795,279.8614927315113,280.72749938019075,16589300
2021-08-09,280.5523986816406,283.6855416369248,280.04643616692596,281.9341078061308,16117600
2021-08-10,278.7133483886719,281.4475469009061,277.5068066094293,281.0096736710205,18616600
2021-08-11,279.2095947265625,280.8734595143213,278.1489711210234,279.46256108793733,13955900
2021-08-12,281.9924621582031,282.1481497708205,278.6160631514014,278.8982488051689,14561300
2021-08-13,284.9504699707031,284.9991093587939,281.4962122793532,281.6713794041073,18249000
2021-08-16,286.6532287597656,286.8672954907197,282.19675673200436,285.2812596697014,22507600
2021-08-17,285.1742248535156,285.51478962708285,283.22817436955876,284.50286475537445,20075300
2021-08-18,283.4291687011719,287.416456625478,282.9806988481564,284.7062694647743,21813000
2021-08-19,289.3174743652344,289.99990780278046,281.39166064727334,281.44039314229036,29850500
2021-08-20,296.7169189453125,298.1597640005232,290.57513599981934,292.1934537674789,40817600
2021-08-23,296.9996337890625,297.7307998150086,294.26995919268575,295.6347964908741,22830200
2021-08-24,295.0205993652344,297.9745087908093,294.4161735704175,297.36032459568236,18175800
2021-08-25,294.42596435546875,296.94116256082947,292.87589584791033,296.65843668172295,20006100
2021-08-26,291.5792541503906,294.8353765650199,291.4427852983106,293.43153543699486,17666100
2021-08-27,292.19342041015625,293.3145356133326,289.3759799266278,291.48174148928524,22605700
2021-08-30,295.9662780761719,296.5804623463555,293.49981234515894,293.5583032517265,16348100
2021-08-31,294.2992248535156,296.8534269193583,293.92876261473407,296.77544896177346,26285300
2021-09-01,294.2504577636719,297.5260972016742,293.91899938473995,295.26434970296106,18983800
2021-09-02,293.5875244140625,295.742018630973,292.6418818344955,294.6111746967481,16285600
2021-09-03,293.5777893066406,295.0011174694184,292.71988309853754,293.4315323043159,14747900
2021-09-07,292.641845703125,293.5289972714306,290.71158668197506,293.4510193291613,17180400
2021-09-08,292.671142578125,293.06109186042886,289.99995875555913,292.2519478434289,15046800
2021-09-09,289.7854919433594,294.55270910234236,289.54176991481154,293.2658496513161,19927000
2021-09-10,288.28411865234375,292.3884185034314,287.9624187067836,290.92608652117167,19633400
2021-09-13,289.531982421875,291.0430766977753,286.6950547244784,290.0779173308701,23652900
2021-09-14,292.2616882324219,293.82151501672774,290.6141250963466,292.03745327708583,21853400
2021-09-15,297.1653747558594,297.6528187680888,294.24071068248264,295.6445518178012,28356300
2021-09-16,297.5552978515625,297.6430341959026,293.20730597513375,296.13196979134676,19550800
2021-09-17,292.3396911621094,296.85342784653994,292.0082327766969,296.531727862565,41372500
2021-09-20,286.9095153808594,291.2185332644084,282.24955211149654,288.8885367541172,38278700
2021-09-21,287.39697265625,290.0681860271259,286.68532345169075,288.26463726334725,22364100
2021-09-22,291.0820617675781,292.6808924550484,287.1142900028874,289.27854267054704,26626300
2021-09-23,292.0374755859375,293.3438220641098,290.0584539415925,291.34531336829014,18604600
2021-09-24,291.8327331542969,292.2714149101846,289.47349106815636,290.7408633380148,14999000
2021-09-27,286.7828063964844,289.02503682051525,285.58368348641136,288.70333688188185,23571700
2021-09-28,276.4002685546875,283.4779658130337,275.6496154141331,282.5225647467809,43186200
2021-09-29,276.8681945800781,279.5686236548034,275.9030649714749,277.9405773403156,26353700
2021-09-30,274.84039306640625,280.6019540223163,274.5479088635458,278.5351965607854,32343600
2021-10-01,281.8401184082031,282.69802458300575,274.2262457336599,275.03538965917335,30086300
2021-10-04,276.00054931640625,280.52404427619945,273.2123836955861,280.1828274988596,31350700
2021-10-05,281.5086975097656,283.1074985244547,276.9169531340779,276.9169531340779,24993000
2021-10-06,285.7493896484375,286.25635041772597,278.3402651096747,278.6034741428845,28002600
2021-10-07,287.4457092285156,289.19076693605905,286.53907060299895,287.76740915165374,20430500
2021-10-08,287.4457092285156,289.19076693605905,286.38308496561683,288.78130091902864,17685700
2021-10-11,286.84130859375,290.48738021424765,285.3984636350445,285.5642076865312,19298600
2021-10-12,285.52520751953125,288.02091846592873,285.00851805995416,287.92342371386826,17974100
2021-10-13,288.8690185546875,289.8146609661149,286.11982765739754,287.5041815050027,23416300
2021-10-14,295.14739990234375,295.6543310513546,290.3509369108312,291.69628737495884,27262900
2021-10-15,296.57073974609375,296.8047331518352,292.9733998018061,294.74770351847604,25384800
2021-10-18,299.5733337402344,300.47021401527024,295.08884311139525,295.94674928836514,22729300
2021-10-19,300.4897766113281,301.5328842911348,299.50513008753006,300.60675842579434,17682100
2021-10-20,299.6903381347656,301.9228400930086,298.4229658227786,301.4451247190896,16537100
2021-10-21,302.9562072753906,303.20965792696575,298.66667623370716,299.4563628923242,16918100
2021-10-22,301.3963928222656,303.2779196166876,300.07052960488767,302.60524448272787,17449300
2021-10-25,300.3922424316406,301.6303394739119,298.7641663906888,301.59133562379975,17554500
2021-10-26,302.322509765625,304.5550116629781,300.8504490854569,303.1901743844819,28107300
2021-10-27,315.05462646484375,317.911041694159,308.0646651182973,308.0646651182973,52588700
2021-10-28,316.2049560546875,316.7118871480218,313.2900204521514,316.18543925222093,26297900
2021-10-29,323.2923889160156,323.66285115645076,315.7662515484733,315.9904865232693,34766000
2021-11-01,321.0989074707031,323.16566560308837,318.1742430000692,323.0389253824982,27073200
2021-11-02,324.76446533203125,325.0764366526236,321.71306093328656,322.0152738528534,26487100
2021-11-03,325.6126403808594,326.49003376098193,322.3467591453572,325.5151456161291,21500100
2021-11-04,327.99139404296875,328.088888814895,321.2354258407841,324.5305527737914,23992200
2021-11-05,327.62091064453125,330.28236601532245,326.02210954265047,330.00939852225866,22570100
2021-11-08,328.5274963378906,329.170925985566,326.0415438479263,328.8297092366323,20897000
2021-11-09,327.513671875,330.2141012244772,326.1293176707129,328.64451589952023,21307400
2021-11-10,322.49298095703125,326.2268191492899,321.6351043951137,326.168328241687,25500900
2021-11-11,324.08197021484375,325.3883164015063,322.21020214935174,322.9316096588417,16849800
2021-11-12,328.26434326171875,328.76154574497787,325.40792808593426,325.53466830725336,23831000
2021-11-15,327.6306457519531,329.3951908050897,325.64186572890435,329.06373242645213,16723000
